"MTU (CET)","Generation - Solar  [MW] Day Ahead/ BZN|BE","Generation - Solar  [MW] Intraday / BZN|BE","Generation - Solar  [MW] Current / BZN|BE","Generation - Wind Offshore  [MW] Day Ahead/ BZN|BE","Generation - Wind Offshore  [MW] Intraday / BZN|BE","Generation - Wind Offshore  [MW] Current / BZN|BE","Generation - Wind Onshore  [MW] Day Ahead/ BZN|BE","Generation - Wind Onshore  [MW] Intraday / BZN|BE","Generation - Wind Onshore  [MW] Current / BZN|BE"
"09.01.2016 23:00 - 10.01.2016 00:00","0","n/e","n/e","672","n/e","n/e","984","n/e","n/e"
"10.01.2016 00:00 - 10.01.2016 01:00","0","n/e","n/e","676","n/e","n/e","987","n/e","n/e"
"10.01.2016 01:00 - 10.01.2016 02:00","0","n/e","n/e","674","n/e","n/e","986","n/e","n/e"
"10.01.2016 02:00 - 10.01.2016 03:00","0","n/e","n/e","669","n/e","n/e","974","n/e","n/e"
"10.01.2016 03:00 - 10.01.2016 04:00","0","n/e","n/e","664","n/e","n/e","959","n/e","n/e"
"10.01.2016 04:00 - 10.01.2016 05:00","0","n/e","n/e","660","n/e","n/e","939","n/e","n/e"
"10.01.2016 05:00 - 10.01.2016 06:00","0","n/e","n/e","658","n/e","n/e","910","n/e","n/e"
"10.01.2016 06:00 - 10.01.2016 07:00","0","n/e","n/e","656","n/e","n/e","874","n/e","n/e"
"10.01.2016 07:00 - 10.01.2016 08:00","0","n/e","n/e","639","n/e","n/e","838","n/e","n/e"
"10.01.2016 08:00 - 10.01.2016 09:00","1","n/e","n/e","618","n/e","n/e","807","n/e","n/e"
"10.01.2016 09:00 - 10.01.2016 10:00","183","n/e","n/e","619","n/e","n/e","792","n/e","n/e"
"10.01.2016 10:00 - 10.01.2016 11:00","536","n/e","n/e","635","n/e","n/e","792","n/e","n/e"
"10.01.2016 11:00 - 10.01.2016 12:00","738","n/e","n/e","641","n/e","n/e","794","n/e","n/e"
"10.01.2016 12:00 - 10.01.2016 13:00","731","n/e","n/e","641","n/e","n/e","783","n/e","n/e"
"10.01.2016 13:00 - 10.01.2016 14:00","585","n/e","n/e","636","n/e","n/e","751","n/e","n/e"
"10.01.2016 14:00 - 10.01.2016 15:00","402","n/e","n/e","621","n/e","n/e","695","n/e","n/e"
